Position,Player,SCA ratio,SCA PassLive ratio,SCA PassDead ratio,SCA TO ratio,SCA Sh ratio,SCA Fld ratio,SCA Def ratio,GCA ratio,GCA PassLive ratio,GCA PassDead ratio,GCA TO ratio,GCA Sh ratio,GCA Fld ratio,GCA Def ratio
GK,Marc-André ter Stegen,0.003141126,0.00291676,0.000224366,0,0,0,0,0.000224366,0.000224366,0,0,0,0,0
FW,Robert Lewandowski,0.026849037,0.019756839,0.000253293,0.00177305,0.003292806,0.001519757,0.000253293,0.004052685,0.002532928,0,0.000253293,0.001266464,0,0
MF,Gavi,0.025641026,0.020512821,0,0.001139601,0.001139601,0.001424501,0.001424501,0.001994302,0.001709402,0,0.0002849,0,0,0
DF,Jules Koundé,0.015063731,0.01419467,0.000289687,0,0.000579374,0,0,0.002607184,0.002607184,0,0,0,0,0
MF,Frenkie de Jong,0.035376639,0.030497103,0.001524855,0.001829826,0.000609942,0.000304971,0.000609942,0.003964623,0.003659652,0.000304971,0,0,0,0
MF,Sergio Busquets,0.025351252,0.022907758,0,0,0.000305437,0.001832621,0.000305437,0.001832621,0.001832621,0,0,0,0,0
DF,Alejandro Balde,0.023084322,0.017633857,0,0.002564925,0.000641231,0.001923693,0.000320616,0.003206156,0.00288554,0,0,0,0.000320616,0
FW,Raphinha,0.0464077,0.030594706,0.00928154,0.001375043,0.003093847,0.001375043,0.000687521,0.006875215,0.005843933,0.000343761,0.000343761,0.000343761,0,0
MF,Pedri,0.039970392,0.033678756,0.002220577,0.001480385,0.001110289,0.001110289,0.000370096,0.004071058,0.004071058,0,0,0,0,0
DF,Ronald Araújo,0.007707129,0.006165703,0,0,0.001156069,0.000385356,0,0.002312139,0.001926782,0,0,0.000385356,0,0
DF,Andreas Christensen,0.008583691,0.008583691,0,0,0,0,0,0.001287554,0.001287554,0,0,0,0,0
FW,Ousmane Dembélé,0.053047929,0.031642624,0.008375989,0.008375989,0.001861331,0.001861331,0.000930665,0.007445323,0.00511866,0.000465333,0.000930665,0.000465333,0,0.000465333
DF,Marcos Alonso,0.013789581,0.012768131,0.000510725,0,0.000510725,0,0,0.00102145,0.00102145,0,0,0,0,0
DF,Jordi Alba,0.036998437,0.032829599,0.002605524,0.000521105,0.001042209,0,0,0.004689943,0.004168838,0.000521105,0,0,0,0
FW,Ferrán Torres,0.031562336,0.020515518,0.003682272,0.004208311,0.001578117,0.000526039,0.001052078,0.002630195,0.002630195,0,0,0,0,0
DF,Sergi Roberto,0.021299255,0.018636848,0,0,0.002129925,0.000532481,0,0.002662407,0.002662407,0,0,0,0,0
FW,Ansu Fati,0.031926407,0.021103896,0.000541126,0.005411255,0.004329004,0,0.000541126,0.00487013,0.002705628,0,0.000541126,0.001623377,0,0
DF,Eric García,0.006582556,0.00603401,0,0,0,0,0.000548546,0.000548546,0.000548546,0,0,0,0,0
MF,Franck Kessié,0.014317181,0.010462555,0,0.001101322,0.002202643,0.000550661,0,0.001651982,0.001101322,0,0,0.000550661,0,0
DF,Gerard Piqué,0.009345794,0.009345794,0,0,0,0,0,0,0,0,0,0,0,0
DF,Héctor Bellerín,0.012121212,0.012121212,0,0,0,0,0,0,0,0,0,0,0,0
GK,Iñaki Peña,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MF,Pablo Torre,0.026239067,0.020408163,0.005830904,0,0,0,0,0.002915452,0.002915452,0,0,0,0,0
FW,Memphis,0.039408867,0.024630542,0.009852217,0.004926108,0,0,0,0,0,0,0,0,0,0
