Position,Player,Attempted,Live Pass,Dead Pass,Free Kick Pass,Through Pass,Switching Passes,Cross Pass,Throw ins,Corner Kick Pass,CK Inswing,CK Outswing,CK Straight,Cmp,Offside Pass,Blocks
GK,Marc-André ter Stegen,0.373120933,0.301548127,0.071572807,0.017724927,0,0.001346197,0,0.000224366,0,0,0,0,0.31949742,0,0
FW,Robert Lewandowski,0.243161094,0.234042553,0.005572442,0.001013171,0.005319149,0.001519757,0.007345491,0,0,0,0,0,0.181104357,0.003546099,0.007852077
MF,Gavi,0.403703704,0.386894587,0.015669516,0.004558405,0.002279202,0.003703704,0.014814815,0.002564103,0,0,0,0,0.341595442,0.001139601,0.00968661
DF,Jules Koundé,0.684820394,0.622827346,0.060834299,0.015932793,0.001158749,0.003765933,0.013615295,0.044901506,0,0,0,0,0.598493627,0.001158749,0.008690614
MF,Frenkie de Jong,0.789569991,0.761207685,0.024397682,0.015248551,0.006404392,0.005184507,0.014638609,0.005489478,0.00304971,0.001219884,0.000609942,0,0.706922842,0.003964623,0.011283928
MF,Sergio Busquets,0.661576054,0.63347587,0.026572999,0.025351252,0.004581552,0.002138057,0.003054368,0.001221747,0,0,0,0,0.580329872,0.001527184,0.006719609
DF,Alejandro Balde,0.598589291,0.516191087,0.079192049,0.011221545,0,0.001923693,0.028214171,0.067970503,0,0,0,0,0.527412632,0.003206156,0.00801539
FW,Raphinha,0.520453764,0.441732554,0.075283603,0.015469233,0.00446889,0.009625301,0.081471296,0.015812994,0.044001375,0.019938123,0.013406669,0.000343761,0.372980406,0.003437607,0.012719147
MF,Pedri,0.650259067,0.622871947,0.025166543,0.008512213,0.009992598,0.011102887,0.013323464,0.004811251,0.005181347,0.000740192,0.004071058,0,0.56180607,0.002220577,0.011102887
DF,Ronald Araújo,0.550289017,0.513680154,0.034682081,0.01849711,0.000770713,0.010019268,0.002697495,0.012716763,0,0,0,0,0.483622351,0.001926782,0.002312139
DF,Andreas Christensen,0.776824034,0.745922747,0.030901288,0.024463519,0.001287554,0.006866953,0.000429185,0.00472103,0,0,0,0,0.727896996,0,0.003862661
FW,Ousmane Dembélé,0.517915309,0.464402047,0.050255933,0.007445323,0.006979991,0.002791996,0.079571894,0.004187994,0.038622615,0.011167985,0.012098651,0.000465333,0.380642159,0.003257329,0.021870638
DF,Marcos Alonso,0.755362615,0.713993871,0.039836568,0.012768131,0.000510725,0.007150153,0.020939734,0.017364658,0.008171604,0.003064351,0.004085802,0,0.675689479,0.001532176,0.006128703
DF,Jordi Alba,0.882230328,0.776446066,0.103178739,0.022407504,0.002605524,0.004168838,0.063053674,0.08025013,0.000521105,0,0,0,0.737884315,0.002605524,0.014590933
FW,Ferrán Torres,0.350867964,0.324039979,0.025775907,0.006312467,0.001052078,0.001578117,0.038926881,0.005260389,0.012098895,0.005786428,0.003682272,0,0.268805892,0.001052078,0.009468701
DF,Sergi Roberto,0.633120341,0.574547391,0.056975506,0.009052183,0.000532481,0.004792332,0.014909478,0.04685836,0,0,0,0,0.571884984,0.001597444,0.00798722
FW,Ansu Fati,0.395562771,0.383116883,0.00974026,0.002164502,0.000541126,0.001623377,0.00974026,0.002164502,0.003787879,0.001623377,0,0,0.329545455,0.002705628,0.012445887
DF,Eric García,0.793746572,0.761930883,0.030718596,0.021393308,0.001645639,0.008228195,0.001097093,0.008776742,0,0,0,0,0.726823917,0.001097093,0.004388371
MF,Franck Kessié,0.395374449,0.383810573,0.009911894,0.005506608,0.001101322,0.003303965,0.006057269,0.002202643,0.000550661,0,0,0,0.34030837,0.001651982,0.004955947
DF,Gerard Piqué,0.976635514,0.948598131,0.024922118,0.017133956,0,0.014018692,0,0,0,0,0,0,0.898753894,0.003115265,0.003115265
DF,Héctor Bellerín,0.391919192,0.325252525,0.062626263,0.004040404,0.002020202,0.002020202,0.024242424,0.058585859,0,0,0,0,0.315151515,0.004040404,0.014141414
GK,Iñaki Peña,0.1769437,0.136729223,0.040214477,0.008042895,0,0,0,0,0,0,0,0,0.166219839,0,0
MF,Pablo Torre,0.513119534,0.481049563,0.026239067,0.008746356,0.005830904,0,0.032069971,0,0.017492711,0.002915452,0.011661808,0,0.428571429,0.005830904,0.002915452
FW,Memphis,0.403940887,0.369458128,0.034482759,0.004926108,0.004926108,0,0.034482759,0,0.024630542,0,0.009852217,0,0.330049261,0,0.004926108
