Position,Player,Total Cmp,Total Att,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,KP,one third,PPA,CrsPA,PrgP
GK,Marc-André ter Stegen,0.31949742,0.373120933,8.20305138,5.701593,0.062822526,0.063944357,0.157056316,0.160197442,0.098945479,0.148306035,0,0.000673098,0.003365492,0,0,0.000897465
FW,Robert Lewandowski,0.181104357,0.243161094,2.478723404,0.510385005,0.111702128,0.135258359,0.04964539,0.064589666,0.008358663,0.013424519,0.002026342,0.010891591,0.014944276,0.009878419,0.001013171,0.030901722
MF,Gavi,0.341595442,0.403703704,4.811965812,0.98005698,0.215954416,0.236752137,0.097150997,0.113960114,0.016809117,0.025071225,0.001994302,0.012820513,0.031908832,0.013390313,0.001709402,0.043589744
DF,Jules Koundé,0.598493627,0.684820394,10.08256083,3.414542294,0.280417149,0.305040556,0.268539977,0.294611819,0.039976825,0.059096176,0.001738123,0.005214368,0.057937428,0.005214368,0.002317497,0.064889919
MF,Frenkie de Jong,0.706922842,0.789569991,11.26806953,3.499237572,0.379078987,0.401951815,0.263799939,0.286672766,0.048490393,0.062519061,0.001219884,0.014638609,0.083257091,0.019518146,0.002744739,0.093931077
MF,Sergio Busquets,0.580329872,0.661576054,10.24984728,3.007330483,0.260537569,0.287416005,0.246487477,0.273060476,0.060781918,0.073610263,0.001221747,0.007635919,0.077580941,0.010690287,0.00091631,0.084605987
DF,Alejandro Balde,0.527412632,0.598589291,7.672972106,1.57326066,0.316768195,0.33889067,0.174094261,0.192048734,0.025008015,0.039115101,0.001923693,0.007374158,0.025969862,0.008336005,0.00577108,0.029176018
FW,Raphinha,0.372980406,0.520453764,6.401512547,1.654864215,0.190099691,0.222756961,0.126503953,0.164317635,0.044688897,0.093846683,0.003781368,0.02303197,0.021313166,0.029563424,0.006875215,0.044345136
MF,Pedri,0.56180607,0.650259067,10.08512213,2.221687639,0.257586973,0.284233901,0.217986677,0.244263509,0.072908956,0.087712805,0.000370096,0.018504811,0.072168764,0.015544041,0.000740192,0.081051073
DF,Ronald Araújo,0.483622351,0.550289017,9.314450867,3.231599229,0.171483622,0.186512524,0.254720617,0.27283237,0.050481696,0.077842004,0.000770713,0.002697495,0.04238921,0.001541426,0.000385356,0.034296724
DF,Andreas Christensen,0.727896996,0.776824034,13.47381974,4.506866953,0.270386266,0.285407725,0.391845494,0.403433476,0.058798283,0.075107296,0.000429185,0.003004292,0.06223176,0.001716738,0,0.049356223
FW,Ousmane Dembélé,0.380642159,0.517915309,6.150767799,1.354118195,0.213587715,0.248953001,0.122382503,0.163331782,0.034899953,0.067007911,0.004187994,0.024197301,0.012563983,0.024197301,0.002791996,0.046533271
DF,Marcos Alonso,0.675689479,0.755362615,12.13381001,4.179264556,0.277834525,0.297242084,0.323799796,0.347803882,0.059754852,0.084780388,0,0.007150153,0.055158325,0.007660878,0.004085802,0.052604699
DF,Jordi Alba,0.737884315,0.882230328,11.50286608,3.391349661,0.409067223,0.444502345,0.261594581,0.307972903,0.047420532,0.084940073,0.003126628,0.022928609,0.076081292,0.025534132,0.009379885,0.086503387
FW,Ferrán Torres,0.268805892,0.350867964,4.128353498,0.880589164,0.154129406,0.175697002,0.086796423,0.113098369,0.020515518,0.037874803,0.001578117,0.015255129,0.008416623,0.016833246,0.006312467,0.025249868
DF,Sergi Roberto,0.571884984,0.633120341,8.285942492,1.869542066,0.337593184,0.354100106,0.189030884,0.211927583,0.030351438,0.039936102,0.001597444,0.009052183,0.066027689,0.00798722,0.003194888,0.067625133
FW,Ansu Fati,0.329545455,0.395562771,4.182900433,0.675865801,0.231060606,0.257575758,0.074134199,0.08982684,0.011904762,0.015151515,0.002164502,0.00974026,0.015151515,0.011904762,0.000541126,0.031385281
DF,Eric García,0.726823917,0.793746572,13.74657159,4.699396599,0.266044981,0.283598464,0.375205705,0.39550192,0.076247943,0.097641251,0.000548546,0.001097093,0.085573231,0.003291278,0.001097093,0.071311026
MF,Franck Kessié,0.34030837,0.395374449,5.169052863,1.015969163,0.18722467,0.209801762,0.124449339,0.140969163,0.019273128,0.025330396,0.001651982,0.005506608,0.021475771,0.006057269,0.001101322,0.031387665
DF,Gerard Piqué,0.898753894,0.976635514,18.30996885,5.985981308,0.27258567,0.297507788,0.492211838,0.507788162,0.130841121,0.158878505,0,0.001557632,0.102803738,0,0,0.07165109
DF,Héctor Bellerín,0.315151515,0.391919192,4.626262626,1.64040404,0.2,0.214141414,0.086868687,0.107070707,0.02020202,0.03030303,0,0.004040404,0.028282828,0.012121212,0.002020202,0.038383838
GK,Iñaki Peña,0.166219839,0.1769437,3.528150134,2.396782842,0.034852547,0.034852547,0.112600536,0.112600536,0.018766756,0.029490617,0,0,0,0,0,0
MF,Pablo Torre,0.428571429,0.513119534,5.880466472,1.393586006,0.282798834,0.314868805,0.104956268,0.125364431,0.029154519,0.052478134,0.002915452,0.014577259,0.06122449,0.011661808,0,0.06122449
FW,Memphis,0.330049261,0.403940887,4.709359606,1.315270936,0.206896552,0.226600985,0.088669951,0.103448276,0.024630542,0.049261084,0,0.014778325,0.034482759,0.014778325,0,0.049261084
