Position,Player,Goals,Shot,SoT,Goals by Shot,Goals by Sot,Avg Distance,FK,PK,PK att
GK,Marc-André ter Stegen,0,0,0,0,0,0,0,0,0
FW,Robert Lewandowski,0.008358663,0.044832827,0.019250253,0.186440678,0.434210526,14.1,0.002026342,0.000253293,0.000506586
MF,Gavi,0.000854701,0.00968661,0.002564103,0.088235294,0.333333333,17.1,0,0,0
DF,Jules Koundé,0.000289687,0.004924681,0.000579374,0.058823529,0.5,13.9,0,0,0
MF,Frenkie de Jong,0.000609942,0.006404392,0.003354681,0.095238095,0.181818182,17.8,0,0,0
MF,Sergio Busquets,0,0.003359805,0.000610874,0,0,21.7,0,0,0
DF,Alejandro Balde,0.000320616,0.008336005,0.001603078,0.038461538,0.2,18.6,0,0,0
FW,Raphinha,0.003437607,0.036782399,0.011344105,0.093457944,0.303030303,19.5,0.003781368,0,0
MF,Pedri,0.002590674,0.012213175,0.005181347,0.212121212,0.5,15.2,0,0,0
DF,Ronald Araújo,0.000385356,0.009633911,0.001156069,0.04,0.333333333,13.5,0,0,0
DF,Andreas Christensen,0.000429185,0.006008584,0.002575107,0.071428571,0.166666667,11.9,0,0,0
FW,Ousmane Dembélé,0.003722662,0.034434621,0.013029316,0.108108108,0.285714286,17.3,0,0,0
DF,Marcos Alonso,0.001532176,0.005617978,0.002042901,0.272727273,0.75,13.1,0.000510725,0,0
DF,Jordi Alba,0.001042209,0.007816571,0.002605524,0.133333333,0.4,22.4,0,0,0
FW,Ferrán Torres,0.003682272,0.025775907,0.008416623,0.142857143,0.4375,15.1,0.000526039,0,0.000526039
DF,Sergi Roberto,0.002129925,0.012779553,0.004792332,0.166666667,0.444444444,16.4,0,0,0
FW,Ansu Fati,0.005411255,0.048701299,0.015692641,0.111111111,0.344827586,15.6,0.001623377,0,0
DF,Eric García,0.000520021,0.003640146,0.000520021,0.142857143,1,12.9,0,0,0
MF,Franck Kessié,0.001651982,0.017070485,0.006057269,0.096774194,0.272727273,15.2,0,0,0
DF,Gerard Piqué,0,0.00623053,0.001557632,0,0,15.2,0,0,0
DF,Héctor Bellerín,0,0.002020202,0.002020202,0,0,19.8,0,0,0
GK,Iñaki Peña,0,0,0,0,0,0,0,0,0
MF,Pablo Torre,0.002915452,0.011661808,0.002915452,0.25,1,20.4,0,0,0
FW,Memphis,0.004926108,0.034482759,0.014778325,0.142857143,0.333333333,11.6,0,0,0
