Player,Tackles ratio,Tackles TklW ratio,Tackles Def 3rd ratio,Tackles Mid 3rd ratio,Tackles Att 3rd ratio,Dribblers tackled ratio,Dribbles challenged ratio,Percent of dribblers tackled ratio,Challenges Lost ratio,Blocks ratio,Blocks Sh ratio,Blocks Pass ratio,Int ratio,Tkl Int ratio,Clr ratio,Err ratio
Marc-André ter Stegen,0,0,0,0,0,0,0,0,0,0,0,0,0.000224366,0.000224366,0.001570563,0.000673098
Robert Lewandowski,0.006079027,0.004559271,0.000506586,0.002026342,0.003546099,0.002532928,0.004305978,0.014893617,0.00177305,0.005825735,0,0.005825735,0.001013171,0.007092199,0.005825735,0
Gavi,0.016524217,0.013675214,0.002564103,0.00997151,0.003988604,0.007122507,0.018233618,0.011139601,0.011111111,0.011396011,0.001709402,0.00968661,0.007692308,0.023361823,0.006837607,0
Jules Koundé,0.013615295,0.007821553,0.007531866,0.004345307,0.001738123,0.008980301,0.013615295,0.019119351,0.004634994,0.00811124,0.002896871,0.005214368,0.009269988,0.020567787,0.019698725,0.000869061
Frenkie de Jong,0.016468435,0.011283928,0.00579445,0.007319305,0.003354681,0.006099421,0.014028667,0.01326624,0.007929247,0.00579445,0.001219884,0.004574565,0.013418725,0.028057335,0.007929247,0.000304971
Sergio Busquets,0.021686011,0.014660965,0.00855223,0.01038485,0.002748931,0.011301161,0.019242517,0.017929139,0.007941356,0.010995724,0.001832621,0.009163103,0.014050092,0.032376298,0.012522908,0.00091631
Alejandro Balde,0.014107086,0.010259699,0.007374158,0.005450465,0.001282462,0.008336005,0.014427701,0.018531581,0.006091696,0.009939083,0.000961847,0.008977236,0.004488618,0.018275088,0.00577108,0.000320616
Raphinha,0.014437951,0.011687865,0.005500172,0.003781368,0.005156411,0.005500172,0.014437951,0.013097284,0.008937779,0.01375043,0.000687521,0.013062908,0.008937779,0.021313166,0.00481265,0.000343761
Pedri,0.017024426,0.009622502,0.006291636,0.008142117,0.002590674,0.005551443,0.0196151,0.010473723,0.014063657,0.012583272,0,0.012583272,0.006661732,0.023686158,0.003330866,0.000740192
Ronald Araújo,0.011175337,0.011175337,0.005780347,0.005009634,0.000385356,0.002697495,0.003853565,0.026974952,0.001156069,0.008863198,0.003853565,0.005009634,0.006165703,0.015799615,0.016955684,0.000385356
Andreas Christensen,0.011587983,0.007725322,0.005579399,0.005150215,0.000858369,0.00472103,0.007296137,0.02776824,0.002575107,0.008154506,0.006437768,0.001716738,0.011158798,0.021888412,0.022317597,0
Ousmane Dembélé,0.013959981,0.009306654,0.003257329,0.005583993,0.00511866,0.003722662,0.009306654,0.018613309,0.005583993,0.00511866,0.000465333,0.004653327,0.000930665,0.014890647,0.000930665,0
Marcos Alonso,0.010214505,0.007660878,0.006639428,0.003064351,0.000510725,0.006128703,0.009193054,0.034065373,0.003064351,0.01174668,0.008171604,0.003575077,0.01072523,0.019407559,0.026046987,0
Jordi Alba,0.013548723,0.013027619,0.006774362,0.005732152,0.001042209,0.006253257,0.015112038,0.021573736,0.008858781,0.009379885,0.004689943,0.004689943,0.008858781,0.020323085,0.014069828,0
Ferrán Torres,0.008416623,0.005260389,0.002630195,0.002630195,0.003156234,0.003156234,0.011572856,0.014360863,0.008416623,0.005786428,0.001052078,0.00473435,0.002104156,0.00999474,0.003156234,0
Sergi Roberto,0.014909478,0.009584665,0.007454739,0.004792332,0.002662407,0.005324814,0.01171459,0.024227902,0.006389776,0.009052183,0.00372737,0.005324814,0.009052183,0.022896699,0.009052183,0
Ansu Fati,0.009199134,0.005952381,0.004329004,0.002705628,0.002164502,0.002705628,0.010281385,0.014231602,0.007575758,0.011363636,0,0.011363636,0.003246753,0.011904762,0.003246753,0
Eric García,0.014560582,0.009360374,0.009880395,0.003120125,0.001560062,0.005720229,0.011960478,0.024856994,0.00624025,0.012480499,0.005200208,0.007280291,0.012480499,0.026521061,0.021320853,0.000520021
Franck Kessié,0.013215859,0.008810573,0.004955947,0.005506608,0.002753304,0.005506608,0.011563877,0.026211454,0.006057269,0.007709251,0.001101322,0.00660793,0.008259912,0.02092511,0.006057269,0.001101322
Gerard Piqué,0.012461059,0.009345794,0.001557632,0.010903427,0,0.007788162,0.009345794,0.129750779,0.001557632,0.007788162,0.004672897,0.003115265,0.007788162,0.020249221,0.042056075,0
Héctor Bellerín,0.012121212,0.016161616,0.002020202,0.008080808,0.002020202,0.008080808,0.012121212,0.134747475,0.004040404,0.01010101,0.004040404,0.006060606,0.012121212,0.02020202,0.006060606,0
Iñaki Peña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002680965
Pablo Torre,0.011661808,0.011661808,0,0.008746356,0.002915452,0.005830904,0.011661808,0.145772595,0.005830904,0.005830904,0.002915452,0.002915452,0.008746356,0.020408163,0.002915452,0.002915452
Memphis,0.004926108,0.004926108,0.004926108,0,0,0,0.004926108,0,0.004926108,0,0,0,0,0.004926108,0,0
