Player,Touches ratio,Def Pen ratio,Def 3rd ratio,Mid 3rd ratio,Att 3rd ratio,Att Pen ratio,Take-Ons Att ratio,Take-Ons Succ ratio,Take-Ons Succ rate ratio,Take-Ons Tkld ratio,Take-Ons Tkld rate ratio,Carries ratio,TotDist ratio,PrgDist ratio,PrgC ratio,Carries one third ratio,CPA ratio,Miscontrols ratio,Dis ratio,Receiving ratio,Receiving PrgR ratio
Marc-André ter Stegen,0.386358537,0.289881086,0.380749383,0.00583352,0,0,0,0,0,0,0,0.254431232,1.272829257,0.885348889,0,0,0,0.000448732,0.000224366,0.225039264,0
Robert Lewandowski,0.355876393,0.006585613,0.014184397,0.131965552,0.213272543,0.06585613,0.01899696,0.009878419,0.013171226,0.007598784,0.010131712,0.239614995,1.156028369,0.422239108,0.016464032,0.011144883,0.00810537,0.027862209,0.017223911,0.302178318,0.077254306
Gavi,0.506267806,0.00997151,0.04985755,0.264957265,0.196011396,0.024216524,0.021082621,0.008831909,0.011937322,0.008547009,0.011538462,0.332763533,1.767236467,0.810541311,0.015669516,0.020512821,0.002564103,0.01965812,0.010541311,0.374074074,0.049287749
Jules Koundé,0.756952491,0.042294322,0.231460023,0.411066049,0.119640788,0.01419467,0.009269988,0.005214368,0.016309386,0.002896871,0.009067207,0.502607184,2.580533024,1.595017381,0.0202781,0.018829664,0.001448436,0.007821553,0.007242178,0.543742758,0.0202781
Frenkie de Jong,0.864287893,0.017078378,0.140591644,0.524855139,0.20768527,0.016163464,0.022262885,0.013418725,0.018389753,0.007014334,0.009606587,0.606587374,3.768831961,2.188167124,0.033851784,0.033241842,0.003354681,0.009149131,0.007929247,0.685879841,0.027142421
Sergio Busquets,0.742211362,0.022296885,0.131948687,0.481673794,0.13347587,0.005803299,0.006414172,0.003970678,0.018906536,0.00091631,0.004367746,0.42333537,1.649358583,0.846976176,0.00855223,0.01038485,0.000305437,0.007025046,0.003970678,0.517409896,0.011301161
Alejandro Balde,0.697980122,0.014107086,0.156139788,0.30843219,0.243026611,0.028534787,0.036550176,0.01955755,0.017152934,0.012504008,0.010965053,0.459442129,2.665597948,1.498877845,0.037512023,0.026290478,0.012504008,0.016030779,0.01090093,0.485411991,0.083039436
Raphinha,0.658645583,0.006875215,0.037813682,0.226538329,0.399449983,0.050532829,0.043657614,0.017875559,0.014059814,0.022344448,0.01760055,0.415606738,2.30113441,1.108972155,0.038501203,0.027157099,0.020281884,0.022344448,0.010312822,0.473014782,0.132691647
Pedri,0.741672835,0.00592154,0.06957809,0.422649889,0.259067358,0.026646928,0.027387121,0.01665433,0.02250185,0.009622502,0.012990377,0.534789045,3.113249445,1.491857883,0.030717987,0.037379719,0.007031828,0.014063657,0.014433753,0.595854922,0.049592894
Ronald Araújo,0.616955684,0.0477842,0.214643545,0.369171484,0.03699422,0.012716763,0.00655106,0.004624277,0.027206166,0.001156069,0.006782274,0.405780347,2.588824663,1.630828516,0.012331407,0.00539499,0.000385356,0.005009634,0.002312139,0.438150289,0.00539499
Andreas Christensen,0.851072961,0.065236052,0.329613734,0.496566524,0.02832618,0.007296137,0.001287554,0.000429185,0.014291845,0.000858369,0.028626609,0.605579399,3.119313305,1.765236052,0.009871245,0.009012876,0,0.00472103,0.000429185,0.646781116,0.002575107
Ousmane Dembélé,0.638436482,0.001395998,0.020009307,0.186598418,0.441600745,0.055839926,0.071195905,0.029781294,0.019450907,0.034899953,0.022801303,0.457422057,3.723592369,1.993020009,0.074453234,0.045602606,0.028850628,0.01721731,0.013029316,0.506281992,0.128431829
Marcos Alonso,0.841164454,0.073033708,0.295199183,0.459652707,0.090398366,0.009703779,0.003064351,0.002042901,0.034065373,0.00102145,0.01700715,0.548008172,3.316649642,1.926455567,0.017875383,0.011235955,0,0.006128703,0.001532176,0.605720123,0.012257406
Jordi Alba,0.944241793,0.021886399,0.176133403,0.464304325,0.310578426,0.026055237,0.005732152,0.003126628,0.028400208,0.002605524,0.023710266,0.59562272,2.37467431,1.269932256,0.025013028,0.017196456,0.004168838,0.004168838,0.004689943,0.681605003,0.098488796
Ferrán Torres,0.461336139,0.005786428,0.038400842,0.165176223,0.262493425,0.053655971,0.042609153,0.018411362,0.022724882,0.017885324,0.022093635,0.305628617,1.64702788,0.715412941,0.02472383,0.019989479,0.013677012,0.027880063,0.013150973,0.363492898,0.106785902
Sergi Roberto,0.708200213,0.017039404,0.112886049,0.375399361,0.22257721,0.025559105,0.006922258,0.002662407,0.020500532,0.002129925,0.016400426,0.441959531,1.927050053,1.132055378,0.028221512,0.020766773,0.00372737,0.006389776,0.002662407,0.526624068,0.050585729
Ansu Fati,0.524891775,0.007575758,0.038961039,0.180194805,0.308982684,0.083333333,0.030844156,0.013528139,0.023755411,0.015151515,0.026569264,0.364177489,1.936688312,0.912337662,0.030844156,0.016774892,0.020562771,0.024891775,0.018939394,0.418831169,0.112012987
Eric García,0.834633385,0.054602184,0.310972439,0.475819033,0.050962038,0.002600104,0.002600104,0.001040042,0.020800832,0.001560062,0.031201248,0.543421737,2.651586063,1.575143006,0.016120645,0.01300052,0,0.005200208,0.001040042,0.626625065,0.003120125
Franck Kessié,0.48623348,0.018171806,0.092511013,0.279185022,0.119493392,0.022577093,0.012665198,0.00715859,0.031112335,0.003303965,0.014372247,0.303964758,1.533039648,0.572687225,0.012665198,0.008259912,0.002202643,0.016519824,0.00660793,0.362885463,0.038546256
Gerard Piqué,1.07165109,0.082554517,0.316199377,0.732087227,0.024922118,0.009345794,0.001557632,0.001557632,0.15576324,0,0,0.721183801,4.412772586,2.96728972,0.00623053,0.00623053,0,0.004672897,0.003115265,0.816199377,0.003115265
Héctor Bellerín,0.450505051,0.018181818,0.076767677,0.236363636,0.143434343,0.016161616,0.01010101,0.006060606,0.121212121,0.004040404,0.080808081,0.238383838,1.16969697,0.646464646,0.01010101,0.016161616,0.002020202,0.016161616,0.002020202,0.284848485,0.026262626
Iñaki Peña,0.18766756,0.152815013,0.18230563,0.00536193,0,0,0,0,0,0,0,0.117962466,0.536193029,0.302949062,0,0,0,0,0,0.09383378,0
Pablo Torre,0.588921283,0.008746356,0.055393586,0.306122449,0.233236152,0.005830904,0.026239067,0.008746356,0.097084548,0.008746356,0.097084548,0.390670554,1.66180758,0.781341108,0.020408163,0.026239067,0.002915452,0.017492711,0.014577259,0.475218659,0.058309038
Memphis,0.507389163,0,0.034482759,0.177339901,0.300492611,0.068965517,0.049261084,0.019704433,0.197044335,0.024630542,0.246305419,0.320197044,1.467980296,0.527093596,0.009852217,0.019704433,0.014778325,0.034482759,0.024630542,0.428571429,0.108374384
